company_location_city,investors,company_location_country,company_founded_on,series,funding_size_usd,date,company_name,company_founders,company_categories
Helsinki,,FIN,2012-03-20,,36098,2012-03-01,Invesdor,"Petteri Poutiainen, Miikka Poutiainen, Jouni Leskinen, Lare Lekman, Timo Lappi, Lasse Mkel","FinTech, Startups, Finance, Crowdfunding"
Tallinn,,EST,2013-01-15,,10000,2012-09-01,Brickflow,"Mihaly Borbely, Peter Langmar, Tamas Kokeny","Software, Mobile, Digital Media"
Tallinn,iCatapult,EST,2013-01-15,,315000,2014-01-30,Brickflow,"Mihaly Borbely, Peter Langmar, Tamas Kokeny","Software, Mobile, Digital Media"
Tallinn,Start-Up Chile,EST,2013-01-15,,40000,2013-03-11,Brickflow,"Mihaly Borbely, Peter Langmar, Tamas Kokeny","Software, Mobile, Digital Media"
Tallinn,Startup Wise Guys,EST,2013-01-15,,20000,2013-02-01,Brickflow,"Mihaly Borbely, Peter Langmar, Tamas Kokeny","Software, Mobile, Digital Media"
Malm,", , , ",SWE,2011-11-10,,2300000,2014-12-08,Foap AB,"David Los, Alexandra Bylund","Startups, Photography, Mobile"
Malm,"Maxwell Ventures, Industrifonden",SWE,2011-11-10,,1500000,2013-08-07,Foap AB,"David Los, Alexandra Bylund","Startups, Photography, Mobile"
Malm,Jade Global Investments,SWE,2011-11-10,,526843,2012-11-01,Foap AB,"David Los, Alexandra Bylund","Startups, Photography, Mobile"
Malm,,SWE,2011-11-10,,41852,2012-05-25,Foap AB,"David Los, Alexandra Bylund","Startups, Photography, Mobile"
Malm,,SWE,2011-11-10,,74959,2012-03-27,Foap AB,"David Los, Alexandra Bylund","Startups, Photography, Mobile"
Malm,,SWE,2011-11-10,,72272,2012-01-06,Foap AB,"David Los, Alexandra Bylund","Startups, Photography, Mobile"
Malm,,SWE,2011-11-10,,29568,2011-12-01,Foap AB,"David Los, Alexandra Bylund","Startups, Photography, Mobile"
Malm,,SWE,2011-11-10,,37591,2011-11-01,Foap AB,"David Los, Alexandra Bylund","Startups, Photography, Mobile"
Vilnius,,LTU,2011-09-01,,200000,2014-03-05,MobilityBee.com,Ernestas Zvaigzdinas,Mobile
Vilnius,,LTU,2011-09-01,,100000,2011-09-01,MobilityBee.com,Ernestas Zvaigzdinas,Mobile
Stockholm,"Industrifonden, Northzone",SWE,2012-06-25,a,3746400,2012-06-25,Widespace,,Advertising
Vilnius,,LTU,2012-02-10,,45000,2012-04-01,Pombai,"Chase Carlton, Joseph Finkenbinder , Jason Price","Marketplaces, Software, Transportation, Travel, Mobile, Internet"
Vilnius,Startupbootcamp,LTU,2012-02-10,,20118,2012-02-26,Pombai,"Chase Carlton, Joseph Finkenbinder , Jason Price","Marketplaces, Software, Transportation, Travel, Mobile, Internet"
Helsinki,,FIN,2011-10-01,B,12400000,2014-12-11,Jolla,Marc Dillon,"Linux, Open Source, Hardware + Software, Mobile"
Oulu,"Tekes, Inventure Oy",FIN,2010-01-01,A,,2014-08-12,Cyberlightning Ltd.,,"Home Automation, Open Source, 3D Technology, Mobile"
Tartu,,EST,2011-10-01,,700000,2015-02-18,Plumbr,"Ivo Mgi, Nikita Salnikov-Tarnovski, Vladimir or, Priit Potter","B2B, Software"
Tartu,", , Mobi Solutions",EST,2011-10-01,,1000000,2013-11-12,Plumbr,"Ivo Mgi, Nikita Salnikov-Tarnovski, Vladimir or, Priit Potter","B2B, Software"
Tartu,", ",EST,2007-11-01,,100000,2008-02-01,Edicy,,"Web Hosting, Photo Editing, Web Development, Web Design, Public Relations"
Oslo,"Omega Media, ",NOR,2012-09-01,,550000,2013-08-15,Listnerd,Jesper Thogersen,"Curated Web, Social Media"
Oslo,Plug & Play Ventures,NOR,2012-09-01,,,2014-01-13,Listnerd,Jesper Thogersen,"Curated Web, Social Media"
Oslo,,NOR,2012-09-01,,150000,2012-08-15,Listnerd,Jesper Thogersen,"Curated Web, Social Media"
Gvle,"Norrlandsfonden, Almi Invest",SWE,,,1049336,2012-08-13,InCoax Network Europe,,Web Hosting
Limhamn,,SWE,2012-03-08,,,2013-02-01,Applika,"Hannes Remahl, Pierre Orsander, Kristian Ledel",Mobile
Linkping,"Passion Capital, True Ventures, Khosla Ventures",SWE,2012-03-01,A,8000000,2014-09-04,Narrative,"Simon Pantzare, Sebastian Bjrkelid, Oskar Kalmaru, Martin Kllstrm","Photography, Software, Hardware + Software, Hardware"
Linkping,"Passion Capital, , ",SWE,2012-03-01,,675000,2012-07-03,Narrative,"Simon Pantzare, Sebastian Bjrkelid, Oskar Kalmaru, Martin Kllstrm","Photography, Software, Hardware + Software, Hardware"
Linkping,,SWE,2012-03-01,,500000,2014-03-17,Narrative,"Simon Pantzare, Sebastian Bjrkelid, Oskar Kalmaru, Martin Kllstrm","Photography, Software, Hardware + Software, Hardware"
